Peak_Set,Gene_Set_Name,Mean_AbsDist_TSS_bp,Binom_Raw_Pvalue,Binom_Adj_Pvalue,Binom_FoldEnrichment,Binom_Observed_RegionHits,Genome_Fraction_pct,Hyper_Raw_Pvalue,Hyper_Adj_Pvalue,Hyper_FoldEnrichment_pct,Observed_Gene_Hits,Total_Genes_in_Set
VAZ_only,MOREAUX_MULTIPLE_MYELOMA_BY_TACI_UP,179333,1.332e-15,7.860e-14,1.314,890,2.752,4.956e-06,2.924e-04,118.494,246,334
VAZ_only,BOYLAN_MULTIPLE_MYELOMA_PCA3_UP,218947,4.806e-03,1.859e-02,1.154,343,1.208,1.184e-05,3.492e-04,136.131,66,78
VAZ_only,BOYLAN_MULTIPLE_MYELOMA_C_D_DN,233421,8.661e-03,2.839e-02,1.088,806,3.010,2.806e-04,4.932e-03,116.718,185,255
VAZ_only,MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_UP,194876,1.444e-02,4.098e-02,1.218,134,0.447,1.077e-03,1.059e-02,139.141,32,37
VAZ_only,BOYLAN_MULTIPLE_MYELOMA_C_DN,214356,2.667e-04,1.967e-03,1.260,244,0.787,1.336e-03,1.107e-02,131.630,45,55
VAZ_only,ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_DN,200853,5.975e-06,1.175e-04,1.397,192,0.558,1.501e-03,1.107e-02,132.491,42,51
VAZ_only,BOYLAN_MULTIPLE_MYELOMA_D_UP,222805,1.012e-02,3.141e-02,1.142,319,1.134,2.130e-03,1.211e-02,124.492,65,84
VAZ_only,BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_DN,274037,2.159e-04,1.820e-03,1.336,164,0.499,3.082e-03,1.399e-02,139.431,26,30
VAZ_only,ZHAN_MULTIPLE_MYELOMA_MF_UP,228682,1.872e-02,4.801e-02,1.176,177,0.611,8.192e-03,3.222e-02,128.705,36,45
VAZ_only,SHAFFER_IRF4_TARGETS_IN_MYELOMA_VS_MATURE_B_LYMPHOCYTE,127058,1.459e-02,4.098e-02,1.170,206,0.715,1.433e-02,4.698e-02,118.094,69,94
EPI_only,SHAFFER_IRF4_TARGETS_IN_MYELOMA_VS_MATURE_B_LYMPHOCYTE,115545,0.000e+00,0.000e+00,2.020,200,0.715,4.221e-04,9.487e-03,132.991,66,94
EPI_only,ZHAN_MULTIPLE_MYELOMA_CD2_UP,260277,1.024e-08,1.208e-07,1.628,155,0.688,3.298e-04,9.487e-03,149.768,34,43
EPI_only,BOYLAN_MULTIPLE_MYELOMA_C_D_UP,176211,0.000e+00,0.000e+00,1.703,297,1.260,8.282e-04,1.018e-02,126.772,85,127
EPI_only,ZHAN_MULTIPLE_MYELOMA_CD1_VS_CD2_DN,141894,1.059e-03,2.976e-03,1.322,134,0.732,1.208e-03,1.018e-02,141.131,38,51
EPI_only,ZHAN_MULTIPLE_MYELOMA_CD1_UP,127886,2.315e-03,5.691e-03,1.374,90,0.473,1.060e-03,1.018e-02,145.363,33,43
EPI_only,ZHAN_MULTIPLE_MYELOMA_PR_DN,179757,1.824e-02,3.588e-02,1.216,125,0.743,9.876e-04,1.018e-02,144.118,35,46
EPI_only,ZHAN_MULTIPLE_MYELOMA_CD1_DN,184133,1.523e-07,8.987e-07,1.700,111,0.472,2.096e-03,1.374e-02,142.059,33,44
EPI_only,BOYLAN_MULTIPLE_MYELOMA_PCA3_UP,187022,4.603e-03,1.044e-02,1.209,202,1.208,4.643e-03,1.848e-02,128.703,53,78
EPI_only,BOYLAN_MULTIPLE_MYELOMA_C_DN,139106,6.619e-03,1.395e-02,1.249,136,0.787,4.698e-03,1.848e-02,134.310,39,55
EPI_only,SHAFFER_IRF4_MULTIPLE_MYELOMA_PROGRAM,131860,1.058e-10,1.561e-09,2.057,98,0.344,5.818e-03,2.072e-02,143.494,25,33
Shared_peaks,MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN,99123,1.760e-10,2.077e-09,1.363,449,1.239,3.302e-09,1.948e-07,120.690,152,159
