Peak_Set,Gene_Set_Name,Mean_AbsDist_TSS_bp,Binom_Raw_Pvalue,Binom_Adj_Pvalue,Binom_FoldEnrichment,Binom_Observed_RegionHits,Genome_Fraction_pct,Hyper_Raw_Pvalue,Hyper_Adj_Pvalue,Hyper_FoldEnrichment_pct,Observed_Gene_Hits,Total_Genes_in_Set
VAZ_only,SHAFFER_IRF4_TARGETS_IN_MYELOMA_VS_MATURE_B_LYMPHOCYTE,90851,0.000e+00,0.000e+00,2.108,397,0.715,2.440e-06,1.440e-04,134.436,80,94
VAZ_only,ZHAN_MULTIPLE_MYELOMA_CD1_UP,128753,2.460e-11,1.037e-10,1.645,205,0.473,4.752e-05,1.402e-03,143.268,39,43
VAZ_only,MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN,101445,4.441e-16,3.743e-15,1.475,481,1.239,9.538e-05,1.876e-03,122.197,123,159
VAZ_only,BOYLAN_MULTIPLE_MYELOMA_D_UP,184976,8.265e-07,2.120e-06,1.289,385,1.134,3.429e-04,3.358e-03,127.874,68,84
VAZ_only,ZHAN_MULTIPLE_MYELOMA_PR_DN,166443,1.292e-06,3.177e-06,1.355,265,0.743,3.384e-04,3.358e-03,137.358,40,46
VAZ_only,ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_UP,119141,2.866e-04,5.284e-04,1.206,360,1.134,3.985e-04,3.358e-03,127.096,70,87
VAZ_only,BOYLAN_MULTIPLE_MYELOMA_C_D_UP,138237,0.000e+00,0.000e+00,1.736,576,1.260,5.566e-04,4.105e-03,121.892,98,127
VAZ_only,ZHAN_MULTIPLE_MYELOMA_LB_UP,119935,6.342e-09,2.079e-08,1.525,209,0.521,1.616e-03,9.535e-03,133.390,38,45
VAZ_only,ZHAN_MULTIPLE_MYELOMA_CD1_DN,160000,2.231e-10,8.226e-10,1.611,200,0.472,2.179e-03,1.169e-02,132.831,37,44
VAZ_only,SHAFFER_IRF4_MULTIPLE_MYELOMA_PROGRAM,115843,0.000e+00,0.000e+00,2.151,195,0.344,5.966e-03,2.347e-02,134.028,28,33
EPI_only,BOYLAN_MULTIPLE_MYELOMA_PCA3_UP,229571,5.493e-08,1.906e-07,1.312,414,1.208,1.493e-08,8.810e-07,151.192,68,78
EPI_only,ZHAN_MULTIPLE_MYELOMA_MF_DN,221811,1.948e-09,8.211e-09,1.472,263,0.684,1.163e-06,3.432e-05,160.420,37,40
EPI_only,BOYLAN_MULTIPLE_MYELOMA_C_D_DN,224620,0.000e+00,0.000e+00,1.387,1091,3.010,3.587e-06,7.055e-05,123.779,182,255
EPI_only,CORRE_MULTIPLE_MYELOMA_DN,282767,1.662e-04,3.503e-04,1.220,347,1.089,5.307e-05,7.827e-04,144.522,45,54
EPI_only,BOYLAN_MULTIPLE_MYELOMA_C_DN,201096,1.649e-09,7.485e-09,1.440,296,0.787,1.286e-04,1.517e-03,141.894,45,55
EPI_only,ZHAN_MULTIPLE_MYELOMA_CD1_VS_CD2_DN,224203,1.626e-11,8.724e-11,1.516,290,0.732,1.626e-04,1.599e-03,142.822,42,51
EPI_only,ZHAN_MULTIPLE_MYELOMA_CD2_UP,316042,2.301e-12,1.358e-11,1.558,280,0.688,2.529e-04,2.132e-03,145.194,36,43
EPI_only,BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_DN,257092,4.570e-13,2.996e-12,1.688,220,0.499,6.539e-04,4.822e-03,150.303,26,30
EPI_only,ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_UP,252882,3.997e-15,3.369e-14,1.482,439,1.134,1.505e-03,8.881e-03,127.578,64,87
EPI_only,SHAFFER_IRF4_TARGETS_IN_MYELOMA_VS_MATURE_B_LYMPHOCYTE,150449,0.000e+00,0.000e+00,1.980,370,0.715,2.261e-03,1.213e-02,125.458,68,94
Shared_peaks,MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN,101482,4.613e-13,2.474e-12,1.370,565,1.239,1.699e-10,1.003e-08,125.288,150,159
Shared_peaks,SHAFFER_IRF4_TARGETS_IN_MYELOMA_VS_MATURE_B_LYMPHOCYTE,100173,0.000e+00,0.000e+00,2.163,515,0.715,3.165e-06,9.336e-05,124.328,88,94
Shared_peaks,BOYLAN_MULTIPLE_MYELOMA_C_D_UP,146286,0.000e+00,0.000e+00,1.643,689,1.260,3.095e-05,6.086e-04,119.211,114,127
